small_area,total_value_mGBP
E01000648,5.808776091
E01000649,22.22532309
E01000650,14.04515971
E01000651,7.914404206
E01000652,13.17134929
E01000653,9.82831535
E01000654,2.763217807
E01000655,2.718961232
E01000656,8.590289231
E01000657,2.771988187
E01000658,3.626420836
E01000659,7.29466933
E01000661,2.981857225
E01000662,3.619137301
E01000663,3.462447752
E01000664,3.272363061
E01000665,6.62107595
E01000666,13.851469
E01000667,33.30351225
E01000668,3.650080889
E01000669,4.057317874
E01000670,3.121496906
E01000671,3.351832972
E01000672,3.312210165
E01000673,5.890102869
E01000674,2.512922467
E01000676,0.625900477
E01000677,3.536900224
E01000678,4.863210305
E01000679,3.946918583
E01000680,7.264997965
E01000681,6.709706804
E01000682,7.296799181
E01000683,3.331451104
E01000684,12.15579491
E01000685,4.786846191
E01000686,10.71483912
E01000687,6.225099089
E01000688,8.245093262
E01000689,2.990414424
E01000690,5.92009417
E01000691,3.223436907
E01000692,4.302667774
E01000693,10.55168301
E01000694,20.70325804
E01000695,10.47470733
E01000696,16.46645901
E01000697,5.095816957
E01000698,18.33772842
E01000699,1.585898496
E01000700,2.827216265
E01000701,1.865464563
E01000702,3.388666573
E01000703,4.754658669
E01000704,2.471914864
E01000705,1.871858673
E01000706,3.304002765
E01000707,3.564594185
E01000708,3.40682138
E01000709,2.066186161
E01000710,3.987696042
E01000711,2.814490781
E01000712,3.588735552
E01000713,3.876423516
E01000714,2.434170533
E01000715,4.015152846
E01000716,3.319205854
E01000717,2.607203772
E01000718,2.185082525
E01000719,2.125073421
E01000720,1.940311249
E01000721,1.147717006
E01000722,2.754053228
E01000723,3.527834368
E01000724,1.347393262
E01000725,2.04663105
E01000726,2.237746758
E01000727,3.574539092
E01000728,2.335569085
E01000729,1.368522753
E01000730,1.366852786
E01000731,2.337892914
E01000732,9.968416929
E01000733,3.034186216
E01000734,2.633213024
E01000735,2.279060606
E01000736,2.586301861
E01000737,2.278667543
E01000738,3.158508546
E01000739,1.262191983
E01000741,1.744013731
E01000742,1.851397312
E01000743,0.933596754
E01000744,0.780247628
E01000745,2.53492375
E01000746,2.230215545
E01000747,8.069478153
E01000748,4.413547567
E01000749,3.173002543
E01000750,1.207128715
E01000751,5.183840551
E01000752,4.940244103
E01000753,17.8180803
E01000754,4.522678911
E01000755,7.89985548
E01000756,12.47005046
E01000757,8.618591731
E01000758,6.633650995
E01000759,13.3219475
E01000760,12.837652
E01000761,11.91541846
E01000762,4.568934463
E01000763,6.162016792
E01000764,7.413120098
E01000765,6.871884504
E01000766,18.26391109
E01000767,13.58505482
E01000768,10.46329939
E01000769,8.607426355
E01000770,11.13553821
E01000771,7.508934182
E01000772,11.98058767
E01000773,6.600173738
E01000774,3.274953446
E01000775,5.814210212
E01000777,4.476918721
E01000778,3.161799682
E01000779,3.945467186
E01000780,2.024033355
E01000781,1.118684693
E01000782,1.03428857
E01000783,1.662689538
E01000784,3.615139859
E01000785,1.772286667
E01000786,5.923726239
E01000787,2.695828859
E01000788,3.327790945
E01000789,1.461792828
E01000790,3.200112555
E01000791,4.213693467
E01000792,2.953530344
E01000793,11.90802179
E01000794,11.55068312
E01000795,3.554742894
E01000796,0.108189179
E01000797,5.422491189
E01000798,0.720717537
E01000799,2.411544497
E01000800,1.407236544
E01000801,1.578877344
E01000802,2.687580009
E01000803,2.233884264
E01000804,9.90917856
E01000805,2.574844882
E01000806,0.365034311
E01000807,7.816796552
E01000808,8.348569559
E01000809,7.028280553
E01000810,13.29635148
E01000811,4.846891829
E01000812,6.453503134
E01000813,7.647031858
E01000814,21.02668369
E01000815,18.07647758
E01000816,2.929966455
E01000818,6.131885672
E01000819,2.094225
E01000820,3.292973937
E01000822,2.045564805
E01000823,2.645407624
E01000824,2.098053076
E01000825,2.352222106
E01000826,25.35665191
E01000827,3.151450936
E01000828,3.582336596
E01000829,4.759903917
E01000830,30.99788194
E01000831,3.209761423
E01000832,12.87670239
E01000833,10.07639895
E01000834,9.810360675
E01000835,5.412960797
E01000836,9.006888247
E01000837,5.28621404
E01000838,8.758485429
E01000839,6.563567349
E01000840,5.028892786
E01000841,8.689094042
E01000842,2.94449507
E01000843,-0.006126574
E01000844,2.242311293
E01000845,1.890057583
E01000846,-0.013487863
E01000847,-0.005540334
E01000848,2.405313382
E01000849,0.088950081
E01000850,-0.000651949
E01000851,-0.029053938
E01000853,0.001353618
E01000855,-0.02362414
E01000856,-0.024737932
E01000857,1.571948598
E01000858,-0.022389354
E01000859,0.67928286
E01000860,0.48750057
E01000861,-0.022360034
E01000862,2.725809727
E01000863,-0.023169587
E01000866,0.285691795
E01000867,-0.025907875
E01000868,-0.013532472
E01000869,-0.028873434
E01000870,0.111934209
E01000871,4.657157991
E01000872,0.804994007
E01000873,3.589432805
